Job Title,Company Name,Location,Meta-info,Link
Electrical Designer,Sky Eye Measurement Inc.,"Acheson, AB",Full-time +1,indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fca.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0D7ZkwNHK9DNwrucVsKnNcaENHFwO6SPz80K7rxsHOam0BP8B_u5a0lxAyS4vHIV5PsSCx2P1PwQee9VE3U-GPDZlXvc9T_WRSO0YWDwbXpi7TAYuVSJZc0a6L6Gj8EVyKaWBpp6DYmVps0VZfe29H1NHjb3cs_mhrRF8F5RZrndxflmKPgb3mDI_oyfs8aoaRCdTCBjkqPzz61CC3kIvT4cAYwOmp5qbBbeDoMXkSXOiSJTP8RSIo9oBcu1UF29zeIz56xRBN6la-gs2HqD7mdqlyXMu_mR-qe5KX_p1kCrLBuTeSYeKtEH14r90mi4WZ5mSFa13yfHcD1h6nrKQxD9HLZhftfNgkkmag2R_orihL2N95-SBADkcbMxQXaastRxHyoemvgJ7hKTvgE45cam25JaXY8LdwYJNoi_iWQneZBuBLsnqn_K3-I93TkbO8OvJvJZeOtYqHt1YIQ72LXwWHMkN2e4J87C1J_FgXmOGRw3bM48HSdFv3QzzPvCwRxeq5BaRq6eUy_GYQ27YauwP6OE8Sin3VVDumuomU3Fw3-kJXWyLo53gtO0uqxFK6fDrvwrh3d0DN-1K48Ozdr%26xkcb%3DSoDH-_M3Qqlyd-zCpB0LbzkdCdPP%26p%3D0%26atk%3D1gvamvdbbkom6800%26prevUrl%3Dhttps%253A%252F%252Fca.indeed.com%252Fm%252Fjobs%253Fq%253Delectrical%252Bengineer%2526start%253D0%2526l%253Dedmonton%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D528ec181f364bfe7%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3Delectrical+engineer%26mobtk%3D1gvamvdaokom6801%26atk%3D1gvamvdbbkom6800%26spon%3D1%26where%3Dedmonton%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D
Electrical Engineer,LRDL Engineering,"Edmonton, AB","$80,000-$100,000 a year",indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fca.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Af8B1WjSh3RJ2gYC0ds-scBpho8xOmGZWmnMzOpAc_9Yji6qasODiYiZxKsPYOJ_P13jHScemgmPDL-mggf80UimlawVfbEIBM1MGXmYnLgupQ7j3_JarKQ_oYZOHNI0bF5y6PuR-_8lKUGg0h_nIoO28Ep5vrsWh1lnJVbNkAgPcFWuCtlgGtpkgiIPLOq456hLC-Zc20OD0DW8EgK7BKn4qt0OrUHYsF5hH1w76DLCndVLfmFPndHvVl_ABBjHnk0LJ4alBkPKBP5fFI107PXhPY5V01_PwGB-Rz3pW3CcZs1yOHLtxE6V-gs9Kmx67NAU9B1TpHOQ4yI527jVCMPK-vTepuyBQRmvVAov29T0ztm8EINuzh3CiCQxW61FzE6z6jrCTQzHD4VQLjFX1ORhTuod8Ri-qCgKr4a8XlsNfAdNiLsAGk-WOKysGlxMeXVLj5Fgrn1iW_K3shZtNbBHCKXy-rm_3CUfGGRIZwB2pgwQTFyEbuOuv-yAL6GCdSoKAfd2jN2xdFlEVzYHXwJBDDRvJJwdkHhN2v9xpVdBYbyfLWUWjzX_q5AO3m-D-ICM0jkecgAXbR_wWPbUIn%26xkcb%3DSoBz-_M3Qqlyd-zCpB0KbzkdCdPP%26p%3D1%26atk%3D1gvamvdbbkom6800%26prevUrl%3Dhttps%253A%252F%252Fca.indeed.com%252Fm%252Fjobs%253Fq%253Delectrical%252Bengineer%2526start%253D0%2526l%253Dedmonton%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D6b89a8ab86da0423%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3Delectrical+engineer%26mobtk%3D1gvamvdaokom6801%26atk%3D1gvamvdbbkom6800%26spon%3D1%26where%3Dedmonton%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D
Fourth Class Power Engineer,Alsco Canada Corporation,"Edmonton, AB",$30 an hour,indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fca.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DxlhOG2HeIewn-CpSdsRL7_BahRNtZ7iLpjrhRioeshKhAdeduMIZqg-9bpnw--ya5hyli0aHzUf6JWvqpRNCkgPnlOootdGS0hG9kG2RMI_hYIPiVYlbtefojgJADCbEzTRgaolOBrtTaL0UBi8pnDMIrVe_DJa_Md-soI4ols-mnspgGye8UgxSGTgZDUHCvexqwCNuXyAl0ek0a8t7Pj2d62D8OJ12uxcZ8l2zE7_j46tKJGhJ3h6nlPS5oCp8ByODFHS448n_dbEfEwDeiraaKY0l39hakXcMzezyGHEe8NQ3dpPDlS7Bk838kElLNA0eybJVPvdEH5480i7GrIx4K_GrjExY8VjMHJX2AbEc0YGcJBtTK-rtkwBOHodpd8Je-ssB3UBMpZganDtsNtKlYZoMZ5zTmUKMm4FXvWayXAPjnzDB_h6HRaLjCbWFgzn6LuTruW2sWMGabZ9gvBD7H13_d9nB3KurWGso9etvGpvtdxJVrGmB_Q57sCYVPWP_GITioUvcAGJFuDUGruEGGK7Ek9iM0lj-OpMml4tbPRszhwcHsZAtSNDQP6h0kjjU9iW_LNoYaH5IFT5vVNJVegU2d2FQ%3D%26xkcb%3DSoDu-_M3Qqlyd-zCpB0JbzkdCdPP%26p%3D2%26atk%3D1gvamvdbbkom6800%26prevUrl%3Dhttps%253A%252F%252Fca.indeed.com%252Fm%252Fjobs%253Fq%253Delectrical%252Bengineer%2526start%253D0%2526l%253Dedmonton%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd37baba472a7b320%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3Delectrical+engineer%26mobtk%3D1gvamvdaokom6801%26atk%3D1gvamvdbbkom6800%26spon%3D1%26where%3Dedmonton%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D
Electrical Assembler,Eaton Corporation,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=f4593299673dade6&mtk=1gvamvdaokom6801&from=serp
Electrical Engineer or Electrical Engineering Technologist,EHT Group Ltd.,"Edmonton, AB","$63,000-$99,000 a year",indeed.com/rc/clk?jk=d536cc67b413dd3c&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
Electrical Engineer-In-Training,Associated Engineering Group of Companies,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=b4778d9a1a4d04ed&mtk=1gvamvdaokom6801&from=serp
Power Engineer Class 4,FDI Services Inc.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=18202ff6287165b6&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
Electrical Design Technologist/Engineer,Tetra Tech,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=c910e98d44f37276&mtk=1gvamvdaokom6801&from=serp
Instrument Controls and Electrical (ICE) Engineer,Bunge,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=af99469ee7396d03&mtk=1gvamvdaokom6801&from=serp
Power Engineer 4th,Alberta Health Services,"St. Albert, AB",Full-time,indeed.com/rc/clk?jk=b5aee9a274dcc172&mtk=1gvamvdaokom6801&from=serp
"Engineer, Distribution",EPCOR,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=6ec4bf2dd337638b&mtk=1gvamvdaokom6801&from=serp
Electrical Project Engineer,Ketek Group Inc.,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=26c57f34fada7657&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
Electrical Engineer,All Type Electric Inc.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=2b0d7067a051d677&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
electrical engineer,AE INDUSTRIES INC,"Edmonton, AB",$46 an hour,indeed.com/rc/clk?jk=a9f5ca91a329c0f9&mtk=1gvamvdaokom6801&from=serp
Junior Electrical and Controls Engineer,Shermco Industries,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=ed295d247a6c1656&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
JR.ELECTRICAL/COMPUTER ENGINEER,BP Automation,"Edmonton, AB",$26-$32 an hour,indeed.com/rc/clk?jk=483e4158f786612c&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
electrical engineering technician,MODERN GENERAL CONTRACTORS LTD,"Edmonton, AB",$38 an hour,indeed.com/rc/clk?jk=00d37302f265aa22&mtk=1gvamvdaokom6801&from=serp
Junior Electrical Designer,Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=036f18de17d23b73&mtk=1gvamvdaokom6801&from=serp
Senior Electrical Engineer,Capital Engineering,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=28a88e92f0227230&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
ELECTRICAL ENGINEERING COMMISSIONING LEAD,Air Products,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=bf74bdfedff574ba&mtk=1gvamvdaokom6801&from=serp
Electrical Intern - Energy (Summer 2023),Stantec,"Edmonton, AB",Full-time +3,indeed.com/rc/clk?jk=51afb5bcaa0863f6&mtk=1gvamvdaokom6801&from=serp
Home Network Engineer II,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=00631f0e299e58eb&mtk=1gvamvdaokom6801&from=serp
"Engineer/Technologist, Electrical",Sherritt International,"Fort Saskatchewan, AB",Full-time,indeed.com/rc/clk?jk=662e708d2096e5cd&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
Electrical/Power Systems Technician,Pembina Pipeline Corporation,"Sherwood Park, AB",N/A,indeed.com/rc/clk?jk=4537ccc076b91b2b&mtk=1gvamvdaokom6801&from=serp
Control Engineer,Orion Engineering Inc.,"Remote in Edmonton, AB",From $45 an hour,indeed.com/rc/clk?jk=a6ce5b61e8787dff&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
Pipeline Operations Engineer,Suncor Energy,"Sherwood Park, AB",Full-time,indeed.com/rc/clk?jk=14aca4bef8facf4b&mtk=1gvamvdsekc1d801&from=serp
Power Systems Consultant - Transient Analysis (Remote-Canada),Siemens,"Remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=4c3ffea1b68a2f71&mtk=1gvamvdsekc1d801&from=serp
Utilities Engineer,City of Edmonton,"Hybrid remote in Edmonton, AB","$75,966-$108,522 a year",indeed.com/rc/clk?jk=1798d92b887e4b70&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineering Technician,Magga Engineering Corporation,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=c97ef58d8369d824&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Electrical Metering Technician,Carma Corp. Utility Submetering and Billing...,"Hybrid remote in Edmonton, AB",From $27 an hour,indeed.com/rc/clk?jk=19061822a52b6041&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Technology Analyst,Vanmok Leak Detection Technologies Inc,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=54fd5fc77cf07259&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Application Engineer,Schneider Electric,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=d0b768bfb9e9f4be&mtk=1gvamvdsekc1d801&from=serp
September 2023 Electrical Engineering Co-op,Atco Ltd.,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=91f199f23413c53a&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineering Technician,Wchh Construction Services Inc,"Edmonton, AB",$35.50 an hour,indeed.com/rc/clk?jk=62ca2f145ae8ddc7&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Instrumentation & Controls Engineer,GHD,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=b577962642acc343&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer in Training - Co-op Student - Edmonton,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=140e596451113d2b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Intermediate Electrical Engineer,Kleinfelder Inc,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=518154055f62e0ce&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Electrical Designer,PB Tec,"Edmonton, AB",$25-$45 an hour,indeed.com/rc/clk?jk=8ee86600fd70faa9&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer - Senior,BBA,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=2b9ad891a767d7fd&mtk=1gvamvdsekc1d801&from=serp
Electrical EIT,Kleinfelder Inc,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=abcf6481c79138e5&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer - EIT,BBA inc.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e5abc186f74f4a2b&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer,Federation Engineering,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=2675bcfe36725856&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
2nd Class Shift Engineer/Supervisor,Celanese International Corporation,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=65876b7c7ce39578&mtk=1gvamvdsekc1d801&from=serp
"Senior Engineer, Electrical Protection & Control - Edmonton",Magna IV Engineering,"Remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=da607270e3a3b209&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Control Systems Lead,JLL,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=6eaa0f226f6feffd&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineering Technologist,Edmonton Airports,"Edmonton, AB",From $49.01 an hour,indeed.com/rc/clk?jk=4c3304c0e461e668&mtk=1gvamvdsekc1d801&from=serp
FPGA Firmware Engineer,Pulse Medica,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=3548b0caf2b318a1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
electrical engineering technician,Weather On Demand,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=f0e1d412de81afb8&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer / Designer,Bantrel Co.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=9235e878879e74e1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Home Network QA Lead,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=0445e9cb15f68d6d&mtk=1gvamvdsekc1d801&from=serp
Pipeline Operations Engineer,Suncor Energy,"Sherwood Park, AB",Full-time,indeed.com/rc/clk?jk=14aca4bef8facf4b&mtk=1gvamveclkp3a801&from=serp
Power Systems Consultant - Transient Analysis (Remote-Canada),Siemens,"Remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=4c3ffea1b68a2f71&mtk=1gvamveclkp3a801&from=serp
Utilities Engineer,City of Edmonton,"Hybrid remote in Edmonton, AB","$75,966-$108,522 a year",indeed.com/rc/clk?jk=1798d92b887e4b70&mtk=1gvamveclkp3a801&from=serp
Electrical Engineering Technician,Magga Engineering Corporation,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=c97ef58d8369d824&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Electrical Metering Technician,Carma Corp. Utility Submetering and Billing...,"Hybrid remote in Edmonton, AB",From $27 an hour,indeed.com/rc/clk?jk=19061822a52b6041&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Technology Analyst,Vanmok Leak Detection Technologies Inc,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=54fd5fc77cf07259&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Application Engineer,Schneider Electric,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=d0b768bfb9e9f4be&mtk=1gvamveclkp3a801&from=serp
September 2023 Electrical Engineering Co-op,Atco Ltd.,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=91f199f23413c53a&mtk=1gvamveclkp3a801&from=serp
Electrical Engineering Technician,Wchh Construction Services Inc,"Edmonton, AB",$35.50 an hour,indeed.com/rc/clk?jk=62ca2f145ae8ddc7&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Instrumentation & Controls Engineer,GHD,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=b577962642acc343&mtk=1gvamveclkp3a801&from=serp
