Job Title,Company Name,Location,Meta-info,Link
Electrical Engineer in Training - Co-op Student - Edmonton,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=140e596451113d2b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Intermediate Electrical Engineer,Kleinfelder Inc,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=518154055f62e0ce&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Electrical Designer,PB Tec,"Edmonton, AB",$25-$45 an hour,indeed.com/rc/clk?jk=8ee86600fd70faa9&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer - Senior,BBA,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=2b9ad891a767d7fd&mtk=1gvamveclkp3a801&from=serp
Electrical EIT,Kleinfelder Inc,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=abcf6481c79138e5&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer - EIT,BBA inc.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e5abc186f74f4a2b&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer,Federation Engineering,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=2675bcfe36725856&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
2nd Class Shift Engineer/Supervisor,Celanese International Corporation,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=65876b7c7ce39578&mtk=1gvamveclkp3a801&from=serp
"Senior Engineer, Electrical Protection & Control - Edmonton",Magna IV Engineering,"Remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=da607270e3a3b209&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Control Systems Lead,JLL,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=6eaa0f226f6feffd&mtk=1gvamveclkp3a801&from=serp
Electrical Engineering Technologist,Edmonton Airports,"Edmonton, AB",From $49.01 an hour,indeed.com/rc/clk?jk=4c3304c0e461e668&mtk=1gvamveclkp3a801&from=serp
FPGA Firmware Engineer,Pulse Medica,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=3548b0caf2b318a1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
electrical engineering technician,Weather On Demand,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=f0e1d412de81afb8&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer / Designer,Bantrel Co.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=9235e878879e74e1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Home Network QA Lead,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=0445e9cb15f68d6d&mtk=1gvamveclkp3a801&from=serp
Senior Electrical Engineer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=582c9f5e791b21a6&mtk=1gvamvetv2lqk001&from=serp
Intermediate Controls Systems Technician/Engineer,Elite Automation Engineering Services Inc.,"Hybrid remote in Edmonton, AB","$55,000 a year",indeed.com/rc/clk?jk=76a375ce67dc0df1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
"Intermediate Electrical Engineer, Water",Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=296625d485ca04f2&mtk=1gvamvetv2lqk001&from=serp
2nd Class Stationary Engineer,AFIMAC Canada,"Edmonton, AB",$60 an hour,indeed.com/rc/clk?jk=9aea428775139bbb&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
electrical engineering technician,Perfect Heating & Air-Conditioning,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=8e6ec1d6ee2e643f&mtk=1gvamvetv2lqk001&from=serp
Project Order Engineering Specialist,Eaton Corporation,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=f46b07537748ebdf&mtk=1gvamvetv2lqk001&from=serp
Laboratory Technician - Industrial Engineering,Underwriters Laboratories Inc.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=5070dee0afc4ffc2&mtk=1gvamvetv2lqk001&from=serp
Electrical Engineering Technologist,BBA,"Remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=6c24731ddffc6b79&mtk=1gvamvetv2lqk001&from=serp
Electrical Field Services Technician/Technologist/Engineer-Commercial Dept,Magna IV Engineering,"Edmonton, AB",$35-$40 an hour,indeed.com/rc/clk?jk=a02dbdbe73114f17&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
Electrical Distribution Designer,Primary,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=b3399fd3ff6b3714&mtk=1gvamvetv2lqk001&from=serp
Electrical Technician/Technologist - New Grad - Commercial Dept,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=325cd7993d7b1fbe&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
Electrical ICAT Designer,MCW Group of Companies,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=548822c464dbc9de&mtk=1gvamvetv2lqk001&from=serp
Optical Transport Engineer,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=24bf024c2eb0aee8&mtk=1gvamvetv2lqk001&from=serp
Lead Technical Services Representative,Shermco Industries,"Edmonton, AB",$45-$65 an hour,indeed.com/rc/clk?jk=58068f1c6b5b6419&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
Electrical Engineer - Intermediate,BBA,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e4bec620a93a24ed&mtk=1gvamvetv2lqk001&from=serp
Electrical Engineering Technologist,Edmonton International Airport,"Hybrid remote in Nisku, AB",$49.01-$54.35 an hour,indeed.com/rc/clk?jk=9b423f011cd7b8ff&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
"Junior Electrical Engineer, Distribution",Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=a4a47c118ed3fc36&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
Electrical Engineering Technologist,Associated Engineering Group of Companies,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=237454d705fea67e&mtk=1gvamvetv2lqk001&from=serp
Electrical Field Service Technician - High Voltage,Spark Power,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=16d06a74e28b461b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
4th Class Power Engineer,McAsphalt Industries Limited,"Acheson, AB",$32-$39 an hour,indeed.com/rc/clk?jk=65ae666d299f42b3&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
PROCESS CONTROLS ENGINEER,Air Products,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=bd7d967201eb5d3b&mtk=1gvamvetv2lqk001&from=serp
Electrical/Mechanical E-house Project Engineer/Specialist,Eaton Industries (Canada) Company,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=9325f2d6dc7f81be&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
electrical engineering technician,MVA Power Engineering Consulting Ltd.,"Edmonton, AB",$35.50 an hour,indeed.com/rc/clk?jk=9bb05b3ce670a043&mtk=1gvamvetv2lqk001&from=serp
Technical Services Representative,Shermco Industries,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=4d78ec8bdbeb9aca&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
"Junior Electrical Engineer, Telecom",Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=f2874a979da2bf0a&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
Senior Electrical Engineer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=582c9f5e791b21a6&mtk=1gvamvffljr5u801&from=serp
Intermediate Controls Systems Technician/Engineer,Elite Automation Engineering Services Inc.,"Hybrid remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=76a375ce67dc0df1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
"Intermediate Electrical Engineer, Water",Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=296625d485ca04f2&mtk=1gvamvffljr5u801&from=serp
2nd Class Stationary Engineer,AFIMAC Canada,"Edmonton, AB",$60 an hour,indeed.com/rc/clk?jk=9aea428775139bbb&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
electrical engineering technician,Perfect Heating & Air-Conditioning,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=8e6ec1d6ee2e643f&mtk=1gvamvffljr5u801&from=serp
Project Order Engineering Specialist,Eaton Corporation,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=f46b07537748ebdf&mtk=1gvamvffljr5u801&from=serp
Laboratory Technician - Industrial Engineering,Underwriters Laboratories Inc.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=5070dee0afc4ffc2&mtk=1gvamvffljr5u801&from=serp
Electrical Engineering Technologist,BBA,"Remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=6c24731ddffc6b79&mtk=1gvamvffljr5u801&from=serp
Electrical Field Services Technician/Technologist/Engineer-Commercial Dept,Magna IV Engineering,"Edmonton, AB",$35-$40 an hour,indeed.com/rc/clk?jk=a02dbdbe73114f17&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
Electrical Distribution Designer,Primary,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=b3399fd3ff6b3714&mtk=1gvamvffljr5u801&from=serp
Electrical Technician/Technologist - New Grad - Commercial Dept,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=325cd7993d7b1fbe&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
Electrical ICAT Designer,MCW Group of Companies,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=548822c464dbc9de&mtk=1gvamvffljr5u801&from=serp
Optical Transport Engineer,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=24bf024c2eb0aee8&mtk=1gvamvffljr5u801&from=serp
Lead Technical Services Representative,Shermco Industries,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=58068f1c6b5b6419&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
Electrical Engineer - Intermediate,BBA,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e4bec620a93a24ed&mtk=1gvamvffljr5u801&from=serp
Electrical Engineering Technologist,Edmonton International Airport,"Hybrid remote in Nisku, AB",$49.01-$54.35 an hour,indeed.com/rc/clk?jk=9b423f011cd7b8ff&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
"Junior Electrical Engineer, Distribution",Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=a4a47c118ed3fc36&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
Electrical Engineering Technologist,Associated Engineering Group of Companies,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=237454d705fea67e&mtk=1gvamvffljr5u801&from=serp
Electrical Field Service Technician - High Voltage,Spark Power,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=16d06a74e28b461b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
4th Class Power Engineer,McAsphalt Industries Limited,"Acheson, AB",$32-$39 an hour,indeed.com/rc/clk?jk=65ae666d299f42b3&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
PROCESS CONTROLS ENGINEER,Air Products,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=bd7d967201eb5d3b&mtk=1gvamvffljr5u801&from=serp
Electrical/Mechanical E-house Project Engineer/Specialist,Eaton Industries (Canada) Company,"Hybrid remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=9325f2d6dc7f81be&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
electrical engineering technician,MVA Power Engineering Consulting Ltd.,"Edmonton, AB",$35.50 an hour,indeed.com/rc/clk?jk=9bb05b3ce670a043&mtk=1gvamvffljr5u801&from=serp
Technical Services Representative,Shermco Industries,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=4d78ec8bdbeb9aca&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
"Junior Electrical Engineer, Telecom",Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=f2874a979da2bf0a&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D40%26l%3Dedmonton&mtk=1gvamvffljr5u801&from=serp
Automation and Controls Specialist,Xylem,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=3dc66c9ea335b924&mtk=1gvamvg02i0eo801&from=serp
Intermediate Distribution Designer/Engineer,"POWER Engineers, Inc.","Edmonton, AB",N/A,indeed.com/rc/clk?jk=71d54d2208219aba&mtk=1gvamvg02i0eo801&from=serp
Senior Engineer,The MEARIE Group,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=6cbd14d01ef28528&mtk=1gvamvg02i0eo801&from=serp
Research Officer II - 5G Systems,NAIT,"Edmonton, AB","$4,641-$6,219 a month",indeed.com/rc/clk?jk=7700b02e070dead3&mtk=1gvamvg02i0eo801&from=serp
Protection & Control Engineer,Stantec,"Hybrid remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=e839331c51c68d73&mtk=1gvamvg02i0eo801&from=serp
"Senior Instrumentation & Controls Engineer, Water",Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=d5e9ca9e60a395e3&mtk=1gvamvg02i0eo801&from=serp
Engineering Manager,Shermco Industries,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=9b93f6e32e99bfa8&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D50%26l%3Dedmonton&mtk=1gvamvg02i0eo801&from=serp
Application Engineer,Intelliwave Technologies,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=49ad60183c247078&mtk=1gvamvg02i0eo801&from=serp
Design Engineer,nVent,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=a56750d2cf5a12d8&mtk=1gvamvg02i0eo801&from=serp
hardware circuit board designer,ViewTrak Technologies Inc.,"Edmonton, AB",$39.60 an hour,indeed.com/rc/clk?jk=e330105e57742a0c&mtk=1gvamvg02i0eo801&from=serp
Supply Quality Engineer (Silent-Aire),Johnson Controls,"Nisku, AB",Full-time,indeed.com/rc/clk?jk=4fa15575c1101722&mtk=1gvamvg02i0eo801&from=serp
