Job Title,Company Name,Location,Meta-info,Link
Senior Applications Engineer,Powell,"Acheson, AB",Full-time,indeed.com/rc/clk?jk=42820f4b51d92c55&mtk=1gvamvg02i0eo801&from=serp
Design Engineer - Mechanical,ShawCor Ltd.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=0ab409076f49e94e&mtk=1gvamvg02i0eo801&from=serp
"Electrical Engineer, Distribution",Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=0bf3557b17967eff&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D50%26l%3Dedmonton&mtk=1gvamvg02i0eo801&from=serp
Electrical Building Systems Engineer,Bouthillette Parizeau,"Remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=0f05f9d47249503a&mtk=1gvamvg02i0eo801&from=serp
Transmission Line Designer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=17ac5c49e13d42f3&mtk=1gvamvg02i0eo801&from=serp
Electrical/Mechanical E-house Project Engineer/Specialist,Eaton Corporation,"Hybrid remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=0dbc28a19959c6f5&mtk=1gvamvg02i0eo801&from=serp
"Intermediate Instrumentation & Controls Engineer, Water",Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=30619552139be392&mtk=1gvamvg02i0eo801&from=serp
Product Engineer (Silent-Aire),Johnson Controls,"Nisku, AB",Full-time,indeed.com/rc/clk?jk=75f6ad82d8090cfe&mtk=1gvamvg02i0eo801&from=serp
"Electrical, Instrumentation and Controls Lead - Engineering",OCL Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=583ca8da3c947ef9&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D50%26l%3Dedmonton&mtk=1gvamvg02i0eo801&from=serp
Functional Safety Engineering Manager,Willowglen Systems Inc.,"Hybrid remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=62b1245014ca4f1d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D50%26l%3Dedmonton&mtk=1gvamvg02i0eo801&from=serp
Senior Distribution Engineer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=1f2b204f61a7348b&mtk=1gvamvg02i0eo801&from=serp
Intermediate Electrical Designer (Infrastructure),TWD Technologies Ltd.,"Hybrid remote in Sherwood Park, AB",N/A,indeed.com/rc/clk?jk=55e684d318128e5b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D50%26l%3Dedmonton&mtk=1gvamvg02i0eo801&from=serp
"Senior Engineer, System Operations",EPCOR,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=62bd312c7aa50af0&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D50%26l%3Dedmonton&mtk=1gvamvg02i0eo801&from=serp
Distribution Engineer,Stantec,"Hybrid remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=c527b3cad733b17f&mtk=1gvamvg02i0eo801&from=serp
Automation and Controls Specialist,Xylem,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=3dc66c9ea335b924&mtk=1gvamvgfvisb6802&from=serp
Intermediate Distribution Designer/Engineer,"POWER Engineers, Inc.","Edmonton, AB",N/A,indeed.com/rc/clk?jk=71d54d2208219aba&mtk=1gvamvgfvisb6802&from=serp
Senior Engineer,The MEARIE Group,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=6cbd14d01ef28528&mtk=1gvamvgfvisb6802&from=serp
Research Officer II - 5G Systems,NAIT,"Edmonton, AB","$4,641-$6,219 a month",indeed.com/rc/clk?jk=7700b02e070dead3&mtk=1gvamvgfvisb6802&from=serp
Protection & Control Engineer,Stantec,"Hybrid remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=e839331c51c68d73&mtk=1gvamvgfvisb6802&from=serp
"Senior Instrumentation & Controls Engineer, Water",Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=d5e9ca9e60a395e3&mtk=1gvamvgfvisb6802&from=serp
Engineering Manager,Shermco Industries,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=9b93f6e32e99bfa8&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D60%26l%3Dedmonton&mtk=1gvamvgfvisb6802&from=serp
Application Engineer,Intelliwave Technologies,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=49ad60183c247078&mtk=1gvamvgfvisb6802&from=serp
Design Engineer,nVent,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=a56750d2cf5a12d8&mtk=1gvamvgfvisb6802&from=serp
hardware circuit board designer,ViewTrak Technologies Inc.,"Edmonton, AB",$39.60 an hour,indeed.com/rc/clk?jk=e330105e57742a0c&mtk=1gvamvgfvisb6802&from=serp
Supply Quality Engineer (Silent-Aire),Johnson Controls,"Nisku, AB",Full-time,indeed.com/rc/clk?jk=4fa15575c1101722&mtk=1gvamvgfvisb6802&from=serp
Senior Applications Engineer,Powell,"Acheson, AB",Full-time,indeed.com/rc/clk?jk=42820f4b51d92c55&mtk=1gvamvgfvisb6802&from=serp
Design Engineer - Mechanical,ShawCor Ltd.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=0ab409076f49e94e&mtk=1gvamvgfvisb6802&from=serp
"Electrical Engineer, Distribution",Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=0bf3557b17967eff&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D60%26l%3Dedmonton&mtk=1gvamvgfvisb6802&from=serp
Electrical Building Systems Engineer,Bouthillette Parizeau,"Remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=0f05f9d47249503a&mtk=1gvamvgfvisb6802&from=serp
Transmission Line Designer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=17ac5c49e13d42f3&mtk=1gvamvgfvisb6802&from=serp
Electrical/Mechanical E-house Project Engineer/Specialist,Eaton Corporation,"Hybrid remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=0dbc28a19959c6f5&mtk=1gvamvgfvisb6802&from=serp
"Intermediate Instrumentation & Controls Engineer, Water",Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=30619552139be392&mtk=1gvamvgfvisb6802&from=serp
Product Engineer (Silent-Aire),Johnson Controls,"Nisku, AB",Full-time,indeed.com/rc/clk?jk=75f6ad82d8090cfe&mtk=1gvamvgfvisb6802&from=serp
"Electrical, Instrumentation and Controls Lead - Engineering",OCL Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=583ca8da3c947ef9&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D60%26l%3Dedmonton&mtk=1gvamvgfvisb6802&from=serp
Functional Safety Engineering Manager,Willowglen Systems Inc.,"Hybrid remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=62b1245014ca4f1d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D60%26l%3Dedmonton&mtk=1gvamvgfvisb6802&from=serp
Senior Distribution Engineer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=1f2b204f61a7348b&mtk=1gvamvgfvisb6802&from=serp
Intermediate Electrical Designer (Infrastructure),TWD Technologies Ltd.,"Hybrid remote in Sherwood Park, AB",N/A,indeed.com/rc/clk?jk=55e684d318128e5b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D60%26l%3Dedmonton&mtk=1gvamvgfvisb6802&from=serp
"Senior Engineer, System Operations",EPCOR,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=62bd312c7aa50af0&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D60%26l%3Dedmonton&mtk=1gvamvgfvisb6802&from=serp
Distribution Engineer,Stantec,"Hybrid remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=c527b3cad733b17f&mtk=1gvamvgfvisb6802&from=serp
Electrical Technologist or Designer,TWS Engineering,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=4582ba9b6b3ef8e4&mtk=1gvamvh27k57b801&from=serp
Intermediate/Senior Electrical Field Services Technologist,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=8a3760544337dc26&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D70%26l%3Dedmonton&mtk=1gvamvh27k57b801&from=serp
Senior Waste Management Engineer,Dillon Consulting Limited,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=2094fc18d88c2add&mtk=1gvamvh27k57b801&from=serp
Commissioning Technologist,Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=e387baa21924238d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D70%26l%3Dedmonton&mtk=1gvamvh27k57b801&from=serp
Postdoctoral Position,University of Alberta,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e31f6adb4335635b&mtk=1gvamvh27k57b801&from=serp
Intermediate/Senior Power Distribution Engineer (T&D),Tetra Tech,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e7f42dc509fe215f&mtk=1gvamvh27k57b801&from=serp
Senior Commissioning Technologist,Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=868b2ba965a5d28d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D70%26l%3Dedmonton&mtk=1gvamvh27k57b801&from=serp
Power System Studies Engineer - Intermediate,BBA inc.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e2849c877362cce4&mtk=1gvamvh27k57b801&from=serp
Postdoctoral or Research Associate Position In Robotics and Industrial Automation,University of Alberta,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=93388e03d9cde2fd&mtk=1gvamvh27k57b801&from=serp
Power Distribution Engineer (T&D),Tetra Tech,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=2618bb47f315fdc9&mtk=1gvamvh27k57b801&from=serp
Electrical Technologist or Designer,TWS Engineering,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=4582ba9b6b3ef8e4&mtk=1gvamvhfpkp30801&from=serp
Intermediate/Senior Electrical Field Services Technologist,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=8a3760544337dc26&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D80%26l%3Dedmonton&mtk=1gvamvhfpkp30801&from=serp
Senior Waste Management Engineer,Dillon Consulting Limited,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=2094fc18d88c2add&mtk=1gvamvhfpkp30801&from=serp
Commissioning Technologist,Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=e387baa21924238d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D80%26l%3Dedmonton&mtk=1gvamvhfpkp30801&from=serp
Postdoctoral Position,University of Alberta,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e31f6adb4335635b&mtk=1gvamvhfpkp30801&from=serp
Intermediate/Senior Power Distribution Engineer (T&D),Tetra Tech,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e7f42dc509fe215f&mtk=1gvamvhfpkp30801&from=serp
Senior Commissioning Technologist,Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=868b2ba965a5d28d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D80%26l%3Dedmonton&mtk=1gvamvhfpkp30801&from=serp
Power System Studies Engineer - Intermediate,BBA inc.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e2849c877362cce4&mtk=1gvamvhfpkp30801&from=serp
Postdoctoral or Research Associate Position In Robotics and Industrial Automation,University of Alberta,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=93388e03d9cde2fd&mtk=1gvamvhfpkp30801&from=serp
Power Distribution Engineer (T&D),Tetra Tech,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=2618bb47f315fdc9&mtk=1gvamvhfpkp30801&from=serp
Supply Quality Engineer (Silent-Aire),Johnson Controls,"Nisku, AB",Full-time,indeed.com/rc/clk?jk=4fa15575c1101722&mtk=1gvamvhsr2gkk002&from=serp
Senior Applications Engineer,Powell,"Acheson, AB",Full-time,indeed.com/rc/clk?jk=42820f4b51d92c55&mtk=1gvamvhsr2gkk002&from=serp
Design Engineer - Mechanical,ShawCor Ltd.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=0ab409076f49e94e&mtk=1gvamvhsr2gkk002&from=serp
"Electrical Engineer, Distribution",Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=0bf3557b17967eff&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D90%26l%3Dedmonton&mtk=1gvamvhsr2gkk002&from=serp
Electrical Building Systems Engineer,Bouthillette Parizeau,"Remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=0f05f9d47249503a&mtk=1gvamvhsr2gkk002&from=serp
Transmission Line Designer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=17ac5c49e13d42f3&mtk=1gvamvhsr2gkk002&from=serp
Electrical/Mechanical E-house Project Engineer/Specialist,Eaton Corporation,"Hybrid remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=0dbc28a19959c6f5&mtk=1gvamvhsr2gkk002&from=serp
"Intermediate Instrumentation & Controls Engineer, Water",Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=30619552139be392&mtk=1gvamvhsr2gkk002&from=serp
Product Engineer (Silent-Aire),Johnson Controls,"Nisku, AB",Full-time,indeed.com/rc/clk?jk=75f6ad82d8090cfe&mtk=1gvamvhsr2gkk002&from=serp
"Electrical, Instrumentation and Controls Lead - Engineering",OCL Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=583ca8da3c947ef9&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D90%26l%3Dedmonton&mtk=1gvamvhsr2gkk002&from=serp
Functional Safety Engineering Manager,Willowglen Systems Inc.,"Hybrid remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=62b1245014ca4f1d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D90%26l%3Dedmonton&mtk=1gvamvhsr2gkk002&from=serp
Distribution Engineer,Stantec,"Hybrid remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=c527b3cad733b17f&mtk=1gvamvhsr2gkk002&from=serp
Senior Distribution Engineer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=1f2b204f61a7348b&mtk=1gvamvhsr2gkk002&from=serp
Intermediate Electrical Designer (Infrastructure),TWD Technologies Ltd.,"Hybrid remote in Sherwood Park, AB",N/A,indeed.com/rc/clk?jk=55e684d318128e5b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D90%26l%3Dedmonton&mtk=1gvamvhsr2gkk002&from=serp
"Senior Engineer, System Operations",EPCOR,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=62bd312c7aa50af0&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D90%26l%3Dedmonton&mtk=1gvamvhsr2gkk002&from=serp
Electrical Technologist or Designer,TWS Engineering,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=4582ba9b6b3ef8e4&mtk=1gvamvhsr2gkk002&from=serp
Intermediate/Senior Electrical Field Services Technologist,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=8a3760544337dc26&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D90%26l%3Dedmonton&mtk=1gvamvhsr2gkk002&from=serp
Senior Waste Management Engineer,Dillon Consulting Limited,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=2094fc18d88c2add&mtk=1gvamvhsr2gkk002&from=serp
Commissioning Technologist,Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=e387baa21924238d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D90%26l%3Dedmonton&mtk=1gvamvhsr2gkk002&from=serp
Postdoctoral Position,University of Alberta,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e31f6adb4335635b&mtk=1gvamvhsr2gkk002&from=serp
Intermediate/Senior Power Distribution Engineer (T&D),Tetra Tech,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e7f42dc509fe215f&mtk=1gvamvhsr2gkk002&from=serp
Power System Studies Engineer - Intermediate,BBA inc.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e2849c877362cce4&mtk=1gvamvhsr2gkk002&from=serp
Postdoctoral or Research Associate Position In Robotics and Industrial Automation,University of Alberta,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=93388e03d9cde2fd&mtk=1gvamvhsr2gkk002&from=serp
Power Distribution Engineer (T&D),Tetra Tech,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=2618bb47f315fdc9&mtk=1gvamvhsr2gkk002&from=serp
Senior Commissioning Technologist,Rising Edge Group,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=868b2ba965a5d28d&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D90%26l%3Dedmonton&mtk=1gvamvhsr2gkk002&from=serp
